ID,desc::Transcription,Function_x,Function_y,Content,Distribution,Form,desc::Repetition,desc::Words,desc::Syllables,desc::Duration
D02_04BM56_290,sì,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.48
D04_07BF55_30,esatto,agreement,agreement,lexical,overlap,simple,nonrepeated,1,3,0.54
D04_07BF55_34,esatto,agreement,agreement,lexical,overlap,simple,nonrepeated,1,3,0.7
D04_07BF55_36,eh,agreement,agreement,nonlexical,overlap,simple,nonrepeated,1,1,0.2
D04_07BF55_38,eh,agreement,agreement,nonlexical,overlap,simple,nonrepeated,1,1,0.18
D04_07BF55_122,sì,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.57
D04_08BF55_48,no,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.75
D04_08BF55_66,sì,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.29
D04_08BF55_84,eh,agreement,agreement,nonlexical,overlap,simple,nonrepeated,1,1,0.17
D02_04BM56_90,sì sì,agreement,agreement,lexical,silence,multiunit,repeated,2,2,0.89
D02_04BM56_112,no no,agreement,agreement,lexical,overlap,multiunit,repeated,2,2,0.32
D04_08BF55_168,sì,agreement,agreement,lexical,silence,simple,nonrepeated,1,1,0.32
D02_04BM56_142,mh sì sì beh,agreement,agreement,mixed,overlap,multiunit,repeated,4,4,1.27
D04_08BF55_242,sì,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.34
D08_15BM22_70,sì,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.55
D12_23LM30_70,no,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.76
D12_24LF27_12,eh,agreement,agreement,nonlexical,silence,simple,nonrepeated,1,1,0.14
D12_24LF27_82,sì,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.25
D12_24LF27_86,è vero,agreement,agreement,lexical,silence,simple,nonrepeated,1,3,0.4
D13_25LF23_102,esatto,agreement,agreement,lexical,overlap,simple,nonrepeated,1,3,0.61
D15_30BM23_26,sì,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.16
D02_04BM56_156,sì sì sì,agreement,agreement,lexical,overlap,multiunit,repeated,3,3,0.86
D15_30BM23_44,sì,agreement,agreement,lexical,overlap,simple,nonrepeated,1,1,0.46
D02_04BM56_168,eh certo,agreement,agreement,mixed,overlap,multiunit,nonrepeated,2,3,0.63
D02_04BM56_186,sì sì sì certo,agreement,agreement,lexical,overlap,multiunit,repeated,4,5,1.07
D02_04BM56_122,eheh,assessment,assessment,nonlexical,overlap,simple,nonrepeated,1,2,0.36
D02_04BM56_196,sì sì,agreement,agreement,lexical,silence,multiunit,repeated,2,2,0.64
D02_04BM56_258,mhmh,assessment,assessment,nonlexical,overlap,simple,nonrepeated,1,2,0.45
D04_07BF55_32,eheh,assessment,assessment,nonlexical,overlap,simple,nonrepeated,1,2,0.23
D04_07BF55_44,eh,assessment,assessment,nonlexical,overlap,simple,nonrepeated,1,1,0.28
D04_07BF55_134,ah,assessment,assessment,nonlexical,overlap,simple,nonrepeated,1,1,0.14
D04_07BF55_138,ah ,assessment,assessment,nonlexical,overlap,simple,nonrepeated,1,1,0.87
D04_08BF55_32,ah,assessment,assessment,nonlexical,overlap,simple,nonrepeated,1,1,0.51
D04_08BF55_72,eh,assessment,assessment,nonlexical,overlap,simple,nonrepeated,1,1,0.16
D05_10BF52_16,pensa,assessment,assessment,lexical,overlap,simple,nonrepeated,1,2,0.4
D06_11LF28_42,ah,assessment,assessment,nonlexical,silence,simple,nonrepeated,1,1,0.3
D06_11LF28_46,ah,assessment,assessment,nonlexical,overlap,simple,nonrepeated,1,1,0.89
D06_11LF28_58,eh,assessment,assessment,nonlexical,overlap,simple,nonrepeated,1,1,0.16
D08_15BM22_118,eh,assessment,assessment,nonlexical,silence,simple,nonrepeated,1,1,0.29
D08_16BF22_14,ah,assessment,assessment,nonlexical,overlap,simple,nonrepeated,1,1,0.18
D08_16BF22_72,ah,assessment,assessment,nonlexical,overlap,simple,nonrepeated,1,1,0.61
D08_16BF22_90,dai,assessment,assessment,lexical,silence,simple,nonrepeated,1,1,0.31
D13_25LF23_178,cavoli,assessment,assessment,lexical,overlap,simple,nonrepeated,1,3,0.63
D01_01BF47_10,eh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.34
D01_01BF47_14,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.42
D01_02BF47_6,no,continuer,continuer,lexical,overlap,simple,nonrepeated,1,1,0.2
D02_04BM56_206,no no,agreement,agreement,lexical,overlap,multiunit,repeated,2,2,0.3
D01_02BF47_8,eh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.29
D01_02BF47_10,eh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.22
D01_02BF47_20,ah,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.21
D01_02BF47_22,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.28
D02_04BM56_208,sì sì sì sì,agreement,agreement,lexical,overlap,multiunit,repeated,4,4,1.51
D01_02BF47_24,sì,continuer,continuer,lexical,overlap,simple,nonrepeated,1,1,0.29
D02_04BM56_234,sì sì sì,agreement,agreement,lexical,silence,multiunit,repeated,3,3,0.58
D01_02BF47_30,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.22
D01_02BF47_32,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.26
D02_04BM56_292,ah no,agreement,agreement,mixed,overlap,multiunit,nonrepeated,2,2,0.48
D01_02BF47_34,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.31
D01_02BF47_40,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.27
D01_02BF47_42,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.3
D01_02BF47_48,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.41
D01_02BF47_50,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.26
D04_07BF55_24,sì certo,agreement,agreement,lexical,overlap,multiunit,nonrepeated,2,3,0.7
D01_02BF47_52,eh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.25
D01_02BF47_54,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.3
D01_02BF47_56,eh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.31
D01_02BF47_58,sì,continuer,continuer,lexical,silence,simple,nonrepeated,1,1,0.4
D01_02BF47_64,eh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.27
D01_02BF47_68,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.35
D01_02BF47_70,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.41
D01_02BF47_76,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.59
D04_07BF55_84,eh esatto,agreement,agreement,mixed,overlap,multiunit,nonrepeated,2,4,0.24
D04_07BF55_96,eh sì,agreement,agreement,mixed,overlap,multiunit,nonrepeated,2,2,0.43
D01_02BF47_78,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.36
D01_02BF47_80,ah,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.52
D04_07BF55_98,sì è vero,agreement,agreement,lexical,overlap,multiunit,nonrepeated,2,4,0.74
D01_02BF47_82,ma dai,continuer,continuer,lexical,silence,simple,nonrepeated,1,2,0.47
D04_08BF55_36,sì sì,agreement,agreement,lexical,overlap,multiunit,repeated,2,2,0.55
D01_02BF47_84,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.38
D01_02BF47_88,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.43
D01_02BF47_96,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.24
D01_02BF47_100,ah,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.27
D01_02BF47_106,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.32
D01_02BF47_116,ah,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.23
D04_08BF55_64,ah sì,agreement,agreement,mixed,overlap,multiunit,nonrepeated,2,2,0.59
D01_02BF47_120,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.19
D01_02BF47_122,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.19
D01_02BF47_124,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.31
D01_02BF47_126,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.26
D01_02BF47_128,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.31
D01_02BF47_130,ah,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.3
D04_08BF55_68,sì sì sì sì sì,agreement,agreement,lexical,overlap,multiunit,repeated,5,5,1.23
D01_02BF47_134,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.4
D01_02BF47_136,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.3
D01_02BF47_138,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.35
D01_02BF47_140,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.28
D01_02BF47_142,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.42
D01_02BF47_144,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.29
D01_02BF47_148,sì,continuer,continuer,lexical,silence,simple,nonrepeated,1,1,0.4
D04_08BF55_128,eh beh certo,agreement,agreement,mixed,overlap,multiunit,nonrepeated,3,4,0.78
D01_02BF47_154,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.38
D01_02BF47_164,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.37
D01_02BF47_170,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.38
D01_02BF47_178,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,1.03
D04_08BF55_174,no no no no infatti,agreement,agreement,lexical,overlap,multiunit,repeated,5,7,1.46
D01_02BF47_180,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.37
D01_02BF47_184,ah,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.34
D04_08BF55_176,ma no infatti,agreement,agreement,lexical,overlap,multiunit,nonrepeated,3,5,1.38
D01_02BF47_188,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.24
D01_02BF47_192,ah,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.26
D01_02BF47_194,eh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.23
D01_02BF47_196,sì,continuer,continuer,lexical,silence,simple,nonrepeated,1,1,0.28
D01_02BF47_198,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.35
D01_02BF47_204,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.24
D01_02BF47_206,eh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.33
D01_02BF47_212,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.32
D01_02BF47_214,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.29
D01_02BF47_218,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.42
D01_02BF47_222,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.34
D01_02BF47_224,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.33
D01_02BF47_230,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.38
D01_02BF47_232,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.43
D04_08BF55_178,ma no,agreement,agreement,lexical,overlap,multiunit,nonrepeated,2,2,0.58
D01_02BF47_240,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.22
D01_02BF47_250,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.33
D01_02BF47_252,eh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.31
D01_02BF47_254,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.3
D01_02BF47_256,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.43
D04_08BF55_182,no no,agreement,agreement,lexical,silence,multiunit,repeated,2,2,0.4
D01_02BF47_258,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.26
D04_08BF55_198,sì sì sì sì sì sì,agreement,agreement,lexical,overlap,multiunit,repeated,6,6,1.34
D01_02BF47_260,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.37
D01_02BF47_262,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.36
D01_02BF47_266,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.3
D01_02BF47_268,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.27
D01_02BF47_270,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.31
D01_02BF47_272,ah,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.26
D01_02BF47_278,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.39
D04_08BF55_220,e certo,agreement,agreement,lexical,silence,multiunit,nonrepeated,2,3,0.62
D01_02BF47_280,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.29
D01_02BF47_288,eh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.24
D01_02BF47_290,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.16
D01_02BF47_298,ah,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.27
D01_02BF47_300,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.32
D02_03BM59_6,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.32
D02_03BM59_10,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.18
D04_08BF55_244,no no no no,agreement,agreement,lexical,overlap,multiunit,repeated,4,4,0.84
D02_03BM59_56,eh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.14
D02_03BM59_64,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.29
D02_03BM59_76,eh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.14
D02_03BM59_78,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.2
D08_15BM22_74,sì sì certo,agreement,agreement,lexical,overlap,multiunit,repeated,3,4,0.83
D02_03BM59_80,eh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.21
D02_03BM59_102,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.21
D02_03BM59_106,eh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.29
D02_03BM59_108,eh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.19
D02_03BM59_114,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.17
D02_04BM56_2,ah,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.28
D02_04BM56_18,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.41
D02_04BM56_20,eh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.39
D02_04BM56_22,eh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.13
D02_04BM56_32,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.34
D02_04BM56_54,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.34
D02_04BM56_86,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.42
D02_04BM56_96,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.45
D08_15BM22_96,sì sì ovvio,agreement,agreement,lexical,overlap,multiunit,repeated,3,4,0.74
D02_04BM56_104,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.42
D02_04BM56_110,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.35
D02_04BM56_124,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.24
D02_04BM56_130,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.32
D02_04BM56_136,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.37
D02_04BM56_154,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.76
D02_04BM56_162,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.35
D02_04BM56_164,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.39
D02_04BM56_198,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.36
D12_24LF27_84,sì sì sì,agreement,agreement,lexical,overlap,multiunit,repeated,3,3,0.5
D02_04BM56_200,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.3
D02_04BM56_202,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.4
D13_25LF23_154,decisamente certo certo certo,agreement,agreement,lexical,overlap,multiunit,repeated,4,9,2.12
D02_04BM56_204,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.34
D02_04BM56_214,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.34
D13_26BF24_104,sì quello sì,agreement,agreement,lexical,overlap,multiunit,nonrepeated,3,4,0.77
D15_29BF21_172,eh infatti,agreement,agreement,mixed,overlap,multiunit,nonrepeated,2,4,0.68
D15_30BM23_18,eh sì,agreement,agreement,mixed,overlap,multiunit,nonrepeated,2,2,0.36
D02_04BM56_216,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.67
D08_15BM22_108,eh esatto,agreement,agreement,mixed,silence,multiunit,nonrepeated,2,4,0.64
D06_11LF28_30,ah beh,assessment,assessment,nonlexical,overlap,multiunit,nonrepeated,2,2,0.43
D02_04BM56_242,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.4
D02_04BM56_268,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.39
D02_04BM56_276,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.35
D06_11LF28_40,eh va beh,assessment,assessment,nonlexical,silence,multiunit,nonrepeated,2,3,0.98
D06_11LF28_48,ah ok ok,assessment,assessment,mixed,overlap,multiunit,repeated,3,5,0.97
D02_04BM56_288,eh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.78
D02_04BM56_296,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.32
D02_04BM56_298,ah,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.27
D06_12LF30_62,no dai,assessment,assessment,lexical,overlap,multiunit,nonrepeated,2,2,0.99
D02_04BM56_300,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.31
D08_15BM22_94,eh oh,assessment,assessment,nonlexical,overlap,multiunit,nonrepeated,2,2,0.31
D04_07BF55_2,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.47
D01_02BF47_18,ah ok,continuer,continuer,mixed,overlap,multiunit,nonrepeated,2,3,0.84
D01_02BF47_26,mhmh mhmh,continuer,continuer,nonlexical,overlap,multiunit,repeated,2,4,0.77
D04_07BF55_6,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.21
D01_02BF47_60,ah ok,continuer,continuer,mixed,overlap,multiunit,nonrepeated,2,3,0.71
D01_02BF47_62,ahah,continuer,continuer,mixed,overlap,multiunit,nonrepeated,2,2,0.39
D01_02BF47_86,mhmh mhmh,continuer,continuer,nonlexical,overlap,multiunit,repeated,2,4,0.69
D04_07BF55_12,sì,continuer,continuer,lexical,overlap,simple,nonrepeated,1,1,0.27
D01_02BF47_90,mhmh mhmh,continuer,continuer,nonlexical,overlap,multiunit,repeated,2,4,1.01
D01_02BF47_92,mhmh mhmh,continuer,continuer,nonlexical,silence,multiunit,repeated,2,4,0.79
D04_07BF55_16,lo so,continuer,continuer,lexical,overlap,simple,nonrepeated,1,2,0.48
D04_07BF55_20,eh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.49
D01_02BF47_174,ah sì,continuer,continuer,mixed,silence,multiunit,nonrepeated,2,2,0.45
D04_07BF55_28,lo so,continuer,continuer,lexical,overlap,simple,nonrepeated,1,2,0.33
D04_07BF55_52,eh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.17
D04_07BF55_56,ah,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.22
D01_02BF47_190,mhmh mhmh,continuer,continuer,nonlexical,overlap,multiunit,repeated,2,4,0.78
D01_02BF47_208,ah sì,continuer,continuer,mixed,overlap,multiunit,nonrepeated,2,2,0.64
D01_02BF47_220,mhmh mhmh,continuer,continuer,nonlexical,overlap,multiunit,nonrepeated,2,4,0.66
D04_07BF55_60,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.4
D01_02BF47_234,mhmh mhmh,continuer,continuer,nonlexical,overlap,multiunit,repeated,2,4,0.72
D04_07BF55_62,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.34
D01_02BF47_264,mhmh mhmh,continuer,continuer,nonlexical,overlap,multiunit,repeated,2,4,0.68
D04_07BF55_64,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.29
D01_02BF47_276,mhmh mhmh,continuer,continuer,nonlexical,overlap,multiunit,repeated,2,4,0.6
D02_04BM56_146,eh beh,continuer,continuer,nonlexical,overlap,multiunit,nonrepeated,2,2,0.75
D02_04BM56_224,sì sì,continuer,continuer,lexical,overlap,multiunit,repeated,2,2,0.4
D04_07BF55_4,eh lo so mh,continuer,continuer,mixed,overlap,multiunit,nonrepeated,3,4,0.98
D04_07BF55_72,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.33
D04_07BF55_78,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.45
D04_07BF55_82,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.86
D04_07BF55_18,eh lo so,continuer,continuer,mixed,overlap,multiunit,nonrepeated,2,3,0.4
D04_07BF55_86,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.29
D04_07BF55_22,no lo so lo so,continuer,continuer,lexical,overlap,multiunit,nonrepeated,3,5,1.24
D04_07BF55_88,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,1.77
D04_07BF55_26,eh lo so,continuer,continuer,mixed,overlap,multiunit,nonrepeated,3,3,0.52
D04_07BF55_58,sì beh certo,continuer,continuer,mixed,overlap,multiunit,nonrepeated,3,4,0.76
D04_07BF55_100,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.23
D04_07BF55_68,sì sì sì,continuer,continuer,lexical,overlap,multiunit,repeated,3,3,2.34
D04_07BF55_102,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.21
D04_07BF55_104,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.25
D04_07BF55_106,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.2
D04_07BF55_110,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.17
D04_07BF55_114,mhmh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,2,0.27
D04_07BF55_116,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.22
D04_07BF55_118,mh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,1,0.13
D04_07BF55_70,sì sì certo sì sì sì sì,continuer,continuer,lexical,overlap,multiunit,repeated,7,8,0.28
D04_07BF55_120,eh sì,continuer,continuer,mixed,overlap,multiunit,nonrepeated,2,2,0.54
D04_07BF55_124,sì,continuer,continuer,lexical,overlap,simple,nonrepeated,1,1,0.47
D04_07BF55_140,ah beh sì certo,continuer,continuer,mixed,overlap,multiunit,repeated,5,5,0.74
D04_07BF55_126,mh,continuer,continuer,nonlexical,overlap,simple,nonrepeated,1,1,0.42
D04_07BF55_144,sì sì,continuer,continuer,lexical,silence,multiunit,repeated,2,2,0.36
D04_08BF55_6,ok,continuer,continuer,lexical,overlap,multiunit,repeated,3,2,0.49
D04_08BF55_30,eh lo so,continuer,continuer,mixed,overlap,multiunit,nonrepeated,2,3,0.62
D04_07BF55_128,mhmh,continuer,continuer,nonlexical,silence,simple,nonrepeated,1,2,0.36
